shap_rank,shap_feature,coef_rank,coef_feature
1,T10Y2Y_lag3,1,BAA10Y
2,UNRATE_d1_roll6,2,CPIAUCSL_lgyoy
3,UNRATE_d1,3,T10Y2Y_lag2
4,UNRATE_d1_roll3,4,T10Y2Y_lag3
5,FEDFUNDS_d1_roll3,5,post_2008
6,T10Y2Y_lag2,6,T10Y2Y_roll6
7,post_2008,7,FEDFUNDS_d1_lag3
8,CPIAUCSL_lgyoy_roll6,8,FEDFUNDS_d1_lag1
9,CPIAUCSL_lgyoy_lag2,9,FEDFUNDS_d1
10,BAA10Y,10,FEDFUNDS_d1_roll3
11,FEDFUNDS_d1_lag3,11,T10Y2Y_lag1
12,FEDFUNDS_d1,12,post_2020
13,T10Y2Y_roll6,13,INDPRO_lgyoy
14,CPIAUCSL_lgyoy_roll3,14,UNRATE_d1_roll3
15,T10Y2Y,15,UNRATE_d1_roll6
