horizon,model,oof_n,positives,auc,average_precision,brier,log_loss,team
1Q,full_l2,80,8,0.9253472222222222,0.423530636030636,0.0980814335243883,1.0047406492198794,Team_A (LogReg)
1Q,sparse_l1,80,8,0.953125,0.6282061688311688,0.0755142301712775,0.5738519575541213,Team_A (LogReg)
1Q,elastic_net,80,8,0.9670138888888888,0.6786647992530346,0.05868105528184964,0.4531505313245413,Team_B (XGBoost+)
1Q,smote_xgb,80,8,0.875,0.42790920406051985,0.08272482454776764,0.3207152748917809,Team_B (XGBoost+)
1Q,stack_ensemble,48,2,0.9565217391304348,0.45,0.0556232360589942,0.25881697568199785,Team_B (XGBoost+)
1Q,xgb_default,80,8,0.859375,0.3905323842823843,0.09521182626485825,0.3425724910665372,Team_B (XGBoost+)
1Q,xgb_tuned,80,8,0.8472222222222222,0.3926367137764196,0.09033028781414032,0.315823806425234,Team_B (XGBoost+)
2Q,full_l2,80,8,0.8350694444444444,0.4442917194990922,0.1214922196559474,0.5042300269579075,Team_A (LogReg)
2Q,sparse_l1,80,8,0.921875,0.5428830227743271,0.0957944766437785,0.3229482717892281,Team_A (LogReg)
2Q,elastic_net,80,8,0.9496527777777777,0.5736111111111111,0.0778108816753299,0.30617038241720257,Team_B (XGBoost+)
2Q,smote_xgb,80,8,0.8263888888888888,0.34633434709654226,0.08981043100357056,0.3296700559115253,Team_B (XGBoost+)
2Q,stack_ensemble,48,2,0.9347826086956522,0.3333333333333333,0.10121607804971046,0.3946053209746436,Team_B (XGBoost+)
2Q,xgb_default,80,8,0.826388888888889,0.3797743055555556,0.09234587848186493,0.3365528418972805,Team_B (XGBoost+)
2Q,xgb_tuned,80,8,0.8489583333333334,0.3830493979200876,0.091391421854496,0.32861374794415876,Team_B (XGBoost+)
3Q,full_l2,80,8,0.7430555555555555,0.223505551291929,0.2004651338136341,0.8572961710604826,Team_A (LogReg)
3Q,sparse_l1,80,8,0.8506944444444444,0.3683396793265214,0.1342058193950749,0.4061686158237999,Team_A (LogReg)
3Q,elastic_net,80,8,0.8350694444444445,0.3512507687817285,0.10462848139068304,0.31157892917377455,Team_B (XGBoost+)
3Q,smote_xgb,80,8,0.8472222222222222,0.3686731637099284,0.09133521467447281,0.3436826045268737,Team_B (XGBoost+)
3Q,stack_ensemble,48,2,0.8369565217391304,0.1625,0.1683767644744122,0.5222892126844297,Team_B (XGBoost+)
3Q,xgb_default,80,8,0.8020833333333334,0.4754339431697444,0.09008665382862091,0.34729131377098477,Team_B (XGBoost+)
3Q,xgb_tuned,80,8,0.8680555555555556,0.5145324616399933,0.09003183990716934,0.3334765816853084,Team_B (XGBoost+)
