horizon,model,regime,auc,ap,brier,n_obs,n_pos,reliable
1Q,elastic_net,pre_Volcker,0.865530303030303,0.6330320353047626,0.16882032568932256,59,11,True
1Q,elastic_net,Volcker_to_GFC,0.8439862542955326,0.6118300853317163,0.12934899454967858,112,15,True
1Q,elastic_net,post_GFC,0.804147465437788,0.2421271538918598,0.17003279743257177,69,7,True
1Q,xgb_tuned,pre_Volcker,0.8428030303030303,0.6261744989017716,0.11594697088003159,59,11,True
1Q,xgb_tuned,Volcker_to_GFC,0.8975945017182131,0.6583785857736125,0.07824170589447021,112,15,True
1Q,xgb_tuned,post_GFC,0.8133640552995393,0.24191765775135965,0.14142397046089172,69,7,True
1Q,smote_xgb,pre_Volcker,0.7765151515151515,0.4591139524963054,0.14024223387241364,59,11,True
1Q,smote_xgb,Volcker_to_GFC,0.8831615120274914,0.667652704297583,0.08943138271570206,112,15,True
1Q,smote_xgb,post_GFC,0.771889400921659,0.2200387771816343,0.14751799404621124,69,7,True
1Q,stack_ensemble,pre_Volcker,,,,0,0,False
1Q,stack_ensemble,Volcker_to_GFC,,,,0,0,False
1Q,stack_ensemble,post_GFC,0.9565217391304348,0.45,0.06029142224237085,48,2,True
2Q,elastic_net,pre_Volcker,0.8457446808510639,0.7035186592367444,0.19766805326921363,59,12,True
2Q,elastic_net,Volcker_to_GFC,0.7649484536082474,0.38817867395463357,0.16749139733713075,112,15,True
2Q,elastic_net,post_GFC,0.7275132275132276,0.1590207898082661,0.14914907528340215,69,6,True
2Q,xgb_tuned,pre_Volcker,0.8439716312056738,0.5555414132363057,0.13555778563022614,59,12,True
2Q,xgb_tuned,Volcker_to_GFC,0.8144329896907216,0.5484212452519088,0.09772948175668716,112,15,True
2Q,xgb_tuned,post_GFC,0.6402116402116402,0.1460844438785615,0.16932539641857147,69,6,True
2Q,smote_xgb,pre_Volcker,0.7535460992907801,0.4284463594947466,0.19069671630859375,59,12,True
2Q,smote_xgb,Volcker_to_GFC,0.8549828178694158,0.4503807384947736,0.10426263511180878,112,15,True
2Q,smote_xgb,post_GFC,0.6058201058201058,0.14139566883464932,0.15878348052501678,69,6,True
2Q,stack_ensemble,pre_Volcker,,,,0,0,False
2Q,stack_ensemble,Volcker_to_GFC,,,,0,0,False
2Q,stack_ensemble,post_GFC,0.9565217391304348,0.41666666666666663,0.12420548187225704,48,2,True
3Q,elastic_net,pre_Volcker,0.8060200668896321,0.6258156402387172,0.2174487296993869,59,13,True
3Q,elastic_net,Volcker_to_GFC,0.7491408934707904,0.42389256766985617,0.17750187417763322,112,15,True
3Q,elastic_net,post_GFC,0.6625,0.12702020202020203,0.17811686967506765,69,5,True
3Q,xgb_tuned,pre_Volcker,0.6605351170568562,0.28972592043472567,0.2510286569595337,59,13,True
3Q,xgb_tuned,Volcker_to_GFC,0.859106529209622,0.3787512137620833,0.10923532396554947,112,15,True
3Q,xgb_tuned,post_GFC,0.53125,0.09636363636363637,0.1559760868549347,69,5,True
3Q,smote_xgb,pre_Volcker,0.617056856187291,0.26447681996753614,0.3057261109352112,59,13,True
3Q,smote_xgb,Volcker_to_GFC,0.813745704467354,0.36056293946521434,0.1205623522400856,112,15,True
3Q,smote_xgb,post_GFC,0.43125,0.08160269682008812,0.17133693397045135,69,5,True
3Q,stack_ensemble,pre_Volcker,,,,0,0,False
3Q,stack_ensemble,Volcker_to_GFC,,,,0,0,False
3Q,stack_ensemble,post_GFC,0.9130434782608695,0.29166666666666663,0.18817396947828177,48,2,True
