horizon,model,oof_n,positives,auc,average_precision,brier,log_loss
1Q,elastic_net,80,8,0.9670138888888888,0.6786647992530346,0.05868105528184964,0.4531505313245413
1Q,smote_xgb,80,8,0.875,0.42790920406051985,0.08272482454776764,0.3207152748917809
1Q,stack_ensemble,56,8,0.9375,0.6071584665334665,0.09993424716570595,0.3775412239668465
1Q,xgb_default,80,8,0.859375,0.3905323842823843,0.09521182626485825,0.3425724910665372
1Q,xgb_tuned,80,8,0.8472222222222222,0.3926367137764196,0.09033028781414032,0.315823806425234
2Q,elastic_net,80,8,0.9496527777777777,0.5736111111111111,0.0778108816753299,0.30617038241720257
2Q,smote_xgb,80,8,0.8263888888888888,0.34633434709654226,0.08981043100357056,0.3296700559115253
2Q,stack_ensemble,56,8,0.7864583333333333,0.38379540749105967,0.14712685379060858,0.4994983660755696
2Q,xgb_default,80,8,0.826388888888889,0.3797743055555556,0.09234587848186493,0.3365528418972805
2Q,xgb_tuned,80,8,0.8489583333333334,0.3830493979200876,0.091391421854496,0.32861374794415876
3Q,elastic_net,80,8,0.8350694444444445,0.3512507687817285,0.10462848139068304,0.31157892917377455
3Q,smote_xgb,80,8,0.8472222222222222,0.3686731637099284,0.09133521467447281,0.3436826045268737
3Q,stack_ensemble,56,8,0.48958333333333337,0.4082442310279436,0.18917508503608843,0.5741840795979021
3Q,xgb_default,80,8,0.8020833333333334,0.4754339431697444,0.09008665382862091,0.34729131377098477
3Q,xgb_tuned,80,8,0.8680555555555556,0.5145324616399933,0.09003183990716934,0.3334765816853084
