horizon,model,oof_n,positives,auc,average_precision,brier,log_loss
1Q,elastic_net,240,33,0.839262187088274,0.41370107702960607,0.15074895678367284,0.5947754779409508
1Q,lstm,240,33,0.6900892987849511,0.26665604091443146,0.22247179481541413,0.6487067182222046
1Q,smote_xgb,240,33,0.8257941736202606,0.41532027554861706,0.11862228810787201,0.38709299646647294
1Q,stack_ensemble,48,2,0.9565217391304348,0.45,0.06029142224237085,0.2666613969118821
1Q,xgb_default,240,33,0.8436539306104524,0.5183177883491749,0.10597343742847443,0.3459292840536222
1Q,xgb_tuned,240,33,0.8534621578099839,0.5122734391917501,0.10567580908536911,0.3363245909850726
2Q,elastic_net,240,33,0.7811447811447811,0.3836190663492757,0.16963640766332086,0.5785523506854915
2Q,lstm,240,33,0.725516029863856,0.2894872313662479,0.24347726312504492,0.7191300183488752
2Q,smote_xgb,240,33,0.778363343580735,0.3179261378513953,0.14118576049804688,0.46065735181008655
2Q,stack_ensemble,48,2,0.9565217391304348,0.41666666666666663,0.12420548187225704,0.4308146489078899
2Q,xgb_default,240,33,0.7912457912457912,0.3636333151639434,0.12741327285766602,0.41949766969374114
2Q,xgb_tuned,240,33,0.7741179915092958,0.34279841541100947,0.12761276960372925,0.4439874328057319
3Q,elastic_net,240,33,0.7670912018738106,0.33348173981265283,0.1874989540322434,0.603349923715195
3Q,lstm,240,33,0.7628458498023716,0.35696193244549623,0.22258953251903754,0.6336167617312226
3Q,smote_xgb,240,33,0.7078026643244034,0.22649020330736158,0.18067948520183563,0.6182389749491027
3Q,stack_ensemble,48,2,0.9130434782608695,0.29166666666666663,0.18817396947828177,0.5668751030557906
3Q,xgb_default,240,33,0.7319572536963841,0.2504489871907771,0.15850327908992767,0.5340710300082152
3Q,xgb_tuned,240,33,0.7534767969550579,0.25639326780228233,0.15753081440925598,0.5096119394678008
